"날짜","Product ID","바코드","SKU ID","SKU 명","벤더아이템 ID","벤더아이템명","로켓프레시","상품카테고리","하위카테고리","세부카테고리","브랜드","매출액(GMV)","판매수량(Units Sold)","반품수량(Return Units)","매입원가(COGS)","AMV","쿠폰 할인가(쿠팡 추가 할인가 제외)","쿠팡 추가 할인가","즉시 할인가","프로모션발생매출액(GMV)","프로모션발생판매수량(Units Sold)","평균판매금액(ASP)","주문건수","주문 고객 수","객단가","구매전환율","PV","정기배송 매출액(SnS GMV)","정기배송 매입원가(SnS COGS)","정기배송 비중(SnS %)","정기배송 판매수량(SnS Units Sold)","정기배송 반품수량(Return Units)","상품평 수","평균 상품 평점"
"20260501","8399098479","8809487306849","10855225","오아 듀얼미스트 미니 휴대용 초음파 탁상용 무선 가습기 500ml","5512650458","오아 듀얼미스트 미니 휴대용 초음파 탁상용 무선가습기,oa-hm048,화이트","NO","CE","Seasonal Appliance","가습기","오아","774800.00","26","-2","471952.00","764471.00","10329.00","0","0.00","29800","1","29800.00","27","27","30903.70","6.09","443","0.00","0.00","0","0","0","4","4.5"
"20260501","327922605","8809487306702","10858043","오아 트래블러 여행용 무선 목베개 마사지기 안마기 OA-MA028","5513878566","오아 트래블러 기내용 무선 목 마사지기,OA-MA028,혼합색상","NO","CE","Health Appliance","마사지기","오아","34800.00","1","0","14713.00","34450.00","0.00","350","0.00","34800","1","34800.00","1","1","34800.00","2.38","42","0.00","0.00","0","0","0","0","0.0"
"20260501","8365283591","8809487306672","10974363","오아 셀카프로 짐벌 블루투스 스마트폰 셀카봉 삼각대 OA-SS800, 블랙","70000363392","오아 셀카프로 짐벌 블루투스 셀카봉 삼각대,OA-SS800,블랙,1개","NO","CE","Cell Phone & Acc.","셀카봉/삼각대","오아","99400.00","2","-1","60566.00","99400.00","0.00","0","0.00","0","0","49700.00","3","3","49700.00","1.29","232","0.00","0.00","0","0","0","0","0.0"
"20260501","5938569723","8809487307006","11156528","오아 쁘띠케어 2in1 온열 진동 갈바닉 클렌저,OA-BU024","70201960607","오아 쁘띠케어 갈바닉 진동클렌저,OA-BU024,단일색상","NO","CE","Beauty Appliance","피부관리기기","오아","39800.00","1","-1","27288.00","39800.00","0.00","0","0.00","0","0","39800.00","2","1","79600.00","15.38","13","0.00","0.00","0","0","0","0","0.0"
"20260501","5960306639","8809487306757","11192163","보아르 그린에어 공기청정기 교체용 필터","70226059015","보아르 그린에어 공기청정기 교체용 필터,VO-AP014,1개","NO","CE","Seasonal Appliance","공기청정기액세서리","보아르","21400.00","1","0","13036.00","21400.00","0.00","0","0.00","0","0","21400.00","1","1","21400.00","9.09","11","0.00","0.00","0","0","0","0","0.0"
"20260501","1234244291","8809487306658","11192165","보아르 클린에어 공기청정기 교체용 필터","70226059022","보아르 클린에어 공기청정기 교체용 필터,VO-AP018,1개","NO","CE","Seasonal Appliance","공기청정기액세서리","보아르","24400.00","1","0","14892.00","24400.00","0.00","0","0.00","0","0","24400.00","1","1","24400.00","25.00","4","0.00","0.00","0","0","0","0","0.0"
"20260501","7736697362","8809487307204","11229298","오아 눈편한세상 눈 안마기 무선 마사지 기계 온열 찜질기","70256660410","오아 눈편한세상 무선 마사지기 온열 찜질기,OA-MA034_1,혼합색상","NO","CE","Health Appliance","마사지기","오아","361900.00","11","-3","233211.00","359900.00","2000.00","0","-1650.00","65800","2","32900.00","14","12","38383.33","4.40","318","0.00","0.00","0","0","0","1","5.0"
"20260501","1294865619","8809487306863","11288089","오아 굿모닝 무선 베개 안마기 목 어깨 쿠션 온열 마사지기 OA-MA029","70303938609","오아 굿모닝 무선 베개 목 어깨 쿠션 온열 마사지기,OA-MA029,단일 색상","NO","CE","Health Appliance","마사지기","오아","78000.00","1","0","48061.00","74000.00","0.00","4000","0.00","78000","1","78000.00","1","1","78000.00","3.23","31","0.00","0.00","0","0","0","0","0.0"
"20260501","7650792362","8809487306139","11291291","보아르 모아M1000 필터","70307076952","보아르 모아 공기청정기 필터,M1000,1개","NO","CE","Seasonal Appliance","공기청정기액세서리","보아르","13400.00","1","0","8162.00","13400.00","0.00","0","0.00","0","0","13400.00","1","1","13400.00","10.00","10","0.00","0.00","0","0","0","0","0.0"
"20260501","8815932963","8809487306917","11511332","오아 아이로너 터보 핸디형 살균 스팀다리미 빠른예열 OA-DA001 화이트","70453475322","오아 아이로너 터보 핸디형 스팀다리미,화이트,OA-DA001","NO","CE","Living Appliance","스팀다리미","오아","29060.00","1","-1","24242.00","28060.00","1000.00","0","0.00","29060","1","32980.00","2","2","32980.00","5.88","34","0.00","0.00","0","0","0","0","0.0"
